Customer_Row_ID,Customer ID,Customer_Name,Segment
1,CG-12520,Claire Gute,Consumer
3,DV-13045,Darrin Van Huff,Corporate
4,SO-20335,Sean O'Donnell,Consumer
6,BH-11710,Brosina Hoffman,Consumer
13,AA-10480,Andrew Allen,Consumer
14,IM-15070,Irene Maddox,Consumer
15,HP-14815,Harold Pawlan,Home Office
17,PK-19075,Pete Kriz,Consumer
18,AG-10270,Alejandro Grove,Consumer
19,ZD-21925,Zuschuss Donatelli,Consumer
22,KB-16585,Ken Black,Corporate
24,SF-20065,Sandra Flanagan,Consumer
25,EB-13870,Emily Burns,Consumer
26,EH-13945,Eric Hoffmann,Consumer
28,TB-21520,Tracy Blumstein,Consumer
35,MA-17560,Matt Abelman,Home Office
36,GH-14485,Gene Hale,Corporate
38,SN-20710,Steve Nguyen,Home Office
42,LC-16930,Linda Cazamias,Corporate
43,RA-19885,Ruben Ausman,Corporate
44,ES-14080,Erin Smith,Corporate
45,ON-18715,Odella Nelson,Corporate
47,PO-18865,Patrick O'Donnell,Consumer
48,LH-16900,Lena Hernandez,Consumer
50,DP-13000,Darren Powers,Consumer
54,JM-15265,Janet Molinari,Corporate
56,TB-21055,Ted Butterfield,Consumer
63,KM-16720,Kunst Miller,Consumer
67,PS-18970,Paul Stevenson,Home Office
68,BS-11590,Brendan Sweed,Corporate
70,KD-16270,Karen Daniels,Consumer
71,HM-14980,Henry MacAllister,Consumer
72,JE-15745,Tracy Blumstein,Consumer
73,KB-16600,Joel Eaton,Consumer
76,SC-20770,Ken Brennan,Corporate
79,DN-13690,Joel Eaton,Consumer
80,JC-16105,Stewart Carmichael,Corporate
82,CS-12400,Duane Noonan,Consumer
84,PG-18895,Julie Creighton,Corporate
85,GM-14455,Christopher Schild,Home Office
86,JS-15685,Patrick O'Donnell,Consumer
87,KB-16315,Paul Gonzalez,Consumer
89,RB-19705,Gary Mitchum,Home Office
90,PN-18775,Jim Sink,Corporate
93,KD-16345,Karl Braun,Consumer
96,ER-13855,Roger Barcio,Home Office
97,RB-19465,Parhena Norris,Home Office
