Product_Row_ID,Customer_Row_ID,Date,Category,Sales,City,State,Customer_Name,Product_ID,Sub_Category,Order_ID
1,1,08-11-2017,Furniture,261.96,Henderson,Kentucky,Claire Gute,FUR-BO-10001798,Bookcases,CA-2017-152156
3,3,12-06-2017,Office Supplies,14.62,Los Angeles,California,Darrin Van Huff,OFF-LA-10000240,Labels,CA-2017-138688
4,4,11-10-2016,Furniture,957.5775,Fort Lauderdale,Florida,Sean O'Donnell,FUR-TA-10000577,Tables,US-2016-108966
6,6,09-06-2015,Furniture,48.86,Los Angeles,California,Brosina Hoffman,FUR-FU-10001487,Furnishings,CA-2015-115812
13,13,15-04-2018,Office Supplies,15.552,Concord,North Carolina,Andrew Allen,OFF-PA-10002365,Paper,CA-2018-114412
14,14,05-12-2017,Office Supplies,407.976,Seattle,Washington,Irene Maddox,OFF-BI-10003656,Binders,CA-2017-161389
15,15,22-11-2016,Office Supplies,68.81,Fort Worth,Texas,Harold Pawlan,OFF-AP-10002311,Appliances,US-2016-118983
17,17,11-11-2015,Office Supplies,665.88,Madison,Wisconsin,Pete Kriz,OFF-ST-10004186,Storage,CA-2015-105893
18,18,13-05-2015,Office Supplies,55.5,West Jordan,Utah,Alejandro Grove,OFF-ST-10000107,Storage,CA-2015-167164
19,19,27-08-2015,Office Supplies,8.56,San Francisco,California,Zuschuss Donatelli,OFF-AR-10003056,Art,CA-2015-143336
22,22,09-12-2017,Office Supplies,19.46,Fremont,Nebraska,Ken Black,OFF-AR-10000246,Art,CA-2017-137330
24,24,16-07-2018,Furniture,71.372,Philadelphia,Pennsylvania,Sandra Flanagan,FUR-CH-10002774,Chairs,US-2018-156909
25,25,25-09-2016,Furniture,1044.63,Orem,Utah,Emily Burns,FUR-TA-10000577,Tables,CA-2016-106320
26,26,16-01-2017,Office Supplies,11.648,Los Angeles,California,Eric Hoffmann,OFF-BI-10001634,Binders,CA-2017-121755
28,28,17-09-2016,Furniture,3083.43,Philadelphia,Pennsylvania,Tracy Blumstein,FUR-BO-10004834,Bookcases,US-2016-150630
35,35,19-10-2018,Office Supplies,29.472,Houston,Texas,Matt Abelman,OFF-PA-10000249,Paper,CA-2018-107727
36,36,08-12-2017,Technology,1097.544,Richardson,Texas,Gene Hale,TEC-PH-10004977,Phones,CA-2017-117590
38,38,27-12-2016,Office Supplies,113.328,Houston,Texas,Steve Nguyen,OFF-EN-10002986,Envelopes,CA-2016-117415
42,42,10-09-2018,Technology,147.168,Naperville,Illinois,Linda Cazamias,TEC-PH-10004093,Phones,CA-2018-120999
43,43,17-07-2017,Office Supplies,77.88,Los Angeles,California,Ruben Ausman,OFF-ST-10003479,Storage,CA-2017-101343
44,44,19-09-2018,Office Supplies,95.616,Melbourne,Florida,Erin Smith,OFF-ST-10003282,Storage,CA-2018-139619
45,45,11-03-2017,Technology,45.98,Eagan,Minnesota,Odella Nelson,TEC-AC-10000171,Accessories,CA-2017-118255
47,47,20-10-2015,Office Supplies,211.96,Westland,Michigan,Patrick O'Donnell,OFF-ST-10001713,Storage,CA-2015-146703
48,48,20-06-2017,Technology,45,Dover,Delaware,Lena Hernandez,TEC-AC-10002167,Accessories,CA-2017-169194
50,50,18-04-2016,Office Supplies,38.22,New Albany,Indiana,Darren Powers,OFF-BI-10004410,Binders,CA-2016-115742
54,54,11-12-2017,Office Supplies,15.26,New York City,New York,Janet Molinari,OFF-FA-10000304,Fasteners,CA-2017-105816
56,56,17-06-2017,Office Supplies,208.56,Troy,New York,Ted Butterfield,OFF-ST-10000604,Storage,CA-2017-111682
63,63,24-11-2016,Technology,13.98,Los Angeles,California,Kunst Miller,TEC-AC-10004633,Accessories,CA-2016-135545
67,67,30-04-2016,Furniture,213.115,Chicago,Illinois,Paul Stevenson,FUR-CH-10001146,Chairs,US-2016-164175
68,68,05-12-2015,Office Supplies,1113.024,Gilbert,Arizona,Brendan Sweed,OFF-AR-10002671,Art,CA-2015-106376
70,70,04-06-2017,Office Supplies,75.88,Springfield,Virginia,Karen Daniels,OFF-PA-10000482,Paper,CA-2017-119823
71,71,18-09-2017,Office Supplies,4.616,New York City,New York,Henry MacAllister,OFF-BI-10004654,Binders,CA-2017-106075
72,72,14-09-2018,Office Supplies,19.05,Jackson,Michigan,Tracy Blumstein,OFF-PA-10004675,Paper,CA-2018-114440
73,73,26-04-2016,Furniture,831.936,Memphis,Tennessee,Joel Eaton,FUR-CH-10000513,Chairs,US-2016-134026
76,76,09-12-2018,Office Supplies,1.248,Houston,Texas,Ken Brennan,OFF-BI-10004182,Binders,US-2018-118038
79,79,26-11-2015,Furniture,19.3,Houston,Texas,Joel Eaton,FUR-FU-10003194,Furnishings,US-2015-147606
80,80,12-06-2017,Office Supplies,208.16,Decatur,Alabama,Stewart Carmichael,OFF-AP-10002118,Appliances,CA-2017-127208
82,82,12-10-2015,Office Supplies,14.9,San Francisco,California,Duane Noonan,OFF-AR-10002053,Art,CA-2015-139451
84,84,03-09-2016,Office Supplies,200.984,Durham,North Carolina,Julie Creighton,OFF-EN-10000927,Envelopes,CA-2016-149734
85,85,13-11-2018,Office Supplies,230.376,Chicago,Illinois,Christopher Schild,OFF-ST-10003656,Storage,US-2018-119662
86,86,28-05-2018,Furniture,301.96,Columbia,South Carolina,Patrick O'Donnell,FUR-CH-10000863,Chairs,CA-2018-140088
87,87,26-10-2018,Technology,19.99,Rochester,Minnesota,Paul Gonzalez,TEC-AC-10001998,Accessories,CA-2018-155558
89,89,05-04-2017,Office Supplies,158.368,Houston,Texas,Gary Mitchum,OFF-ST-10003442,Storage,CA-2017-159695
90,90,17-09-2017,Office Supplies,20.1,Los Angeles,California,Jim Sink,OFF-AR-10004930,Art,CA-2017-109806
93,93,31-01-2016,Office Supplies,12.96,Minneapolis,Minnesota,Karl Braun,OFF-PA-10003177,Paper,CA-2016-149587
96,96,06-11-2018,Office Supplies,5.682,Portland,Oregon,Roger Barcio,OFF-BI-10004738,Binders,US-2018-109484
